id_hotel,nombre,url_principal,ciudad,pais,latitud,longitud,url_2,url_3,url_4,url_5,url_6,url_7,url_8,url_9,url_10
5760951093,,,Recife,Brasil,-8.1266901,-34.9155817,,,,,,,,,
5760951672,,,Recife,Brasil,-8.1160453,-34.9135866,,,,,,,,,
5760953348,,,Recife,Brasil,-8.1058488,-34.9130923,,,,,,,,,
5762153517,,,Recife,Brasil,-8.0734483,-34.9092824,,,,,,,,,
5762167158,,,,Brasil,-8.0248099,-34.9565526,,,,,,,,,
5762167172,,,,Brasil,-8.0274526,-34.9594527,,,,,,,,,
5762167189,,,,Brasil,-8.0244662,-34.9576084,,,,,,,,,
5762167205,,,,Brasil,-8.0267928,-34.9593317,,,,,,,,,
5762204979,,,,Brasil,-8.0364143,-34.9622783,,,,,,,,,
5762204987,,,,Brasil,-8.0366754,-34.9624772,,,,,,,,,
5762204993,,,,Brasil,-8.0340529,-34.9611454,,,,,,,,,
5762205000,,,,Brasil,-8.0334817,-34.9607846,,,,,,,,,
5762205023,,,,Brasil,-8.0344277,-34.9614067,,,,,,,,,
5762205155,,,,Brasil,-8.0325213,-34.9597784,,,,,,,,,
5762359404,,,,Brasil,-8.0755057,-34.9367932,,,,,,,,,
5762359415,,,,Brasil,-8.0753034,-34.9371956,,,,,,,,,
5762359417,,,,Brasil,-8.0751693,-34.9373549,,,,,,,,,
5762365572,,,,Brasil,-8.0824633,-34.924731,,,,,,,,,
5762409290,,,,Brasil,-8.044835,-34.9437171,,,,,,,,,
5762409373,,,,Brasil,-8.0456614,-34.9443234,,,,,,,,,
5762413249,,,,Brasil,-8.0359592,-34.9411341,,,,,,,,,
5762460877,,,,Brasil,-8.0577817,-34.9150345,,,,,,,,,
5762582699,,,Recife,Brasil,-8.0667915,-34.9282161,,,,,,,,,
5764783292,Hotel de Carli,,,Brasil,-27.8926816,-53.3118519,,,,,,,,,
5764850811,Pousada Pai Thomaz,,,Brasil,-12.6051461,-38.9632668,,,,,,,,,
5766259363,Hotel Fazenda Monte Castelo,,,Brasil,-8.231184,-35.6694509,,,,,,,,,
5766720353,Hotel Perfil,,Buriticupu,Brasil,-4.3179772,-46.4581486,,,,,,,,,
5769026875,Ancoradouro,,,Brasil,-8.7479829,-35.0893182,,,,,,,,,
5769338712,,,,Brasil,-30.2445997,-54.9173513,,,,,,,,,
5769356359,Hotel Dom Diego,,,Brasil,-28.3221591,-53.5239744,,,,,,,,,
5771956516,Hotel Tissiani,,,Brasil,-29.3649221,-50.8170796,,,,,,,,,
5778983154,Golden hotel empresa gol,,,Brasil,-22.9221185,-43.1744019,,,,,,,,,
5781392053,Hotel parati,,,Brasil,-18.8986765,-48.2659814,,,,,,,,,
5784354032,Pousada Ecológica das Bromélias,,Morro do Chapéu,Brasil,-11.5521413,-41.1627123,,,,,,,,,
5788214770,Pousada das Pirâmides,,,Brasil,-28.1327288,-49.419262,,,,,,,,,
5792619053,Novo Hotell Recife,,Recife PE,Brasil,-8.0581793,-34.8953446,,,,,,,,,
5792945753,Pegorini,,,Brasil,-27.8094256,-50.3039532,,,,,,,,,
5793683753,Pousada Campanário,,,Brasil,-29.0493449,-50.14494,,,,,,,,,
5793683853,Pousada Campanário,,,Brasil,-29.0492474,-50.1450819,,,,,,,,,
5795950208,Pousada do DODO,,,Brasil,-4.3140025,-39.001267,,,,,,,,,
5797054300,Hotel Fasano,,,Brasil,-23.56445,-46.6695253,,,,,,,,,
5797592257,Tedesco Eco Park,,São Francisco de Paula,Brasil,-29.2998943,-50.5687019,,,,,,,,,
5798687178,Hotel Anízio,,RN,Brasil,-6.1207393,-38.206,,,,,,,,,
5809212517,Pousada das Rosas,,,Brasil,-22.7306532,-45.5959071,,,,,,,,,
5809578335,Hotel Prudentão,,,Brasil,-21.9238453,-50.7222201,,,,,,,,,
5809578354,Hotel Trevo Colonial,,,Brasil,-21.9213907,-50.717509,,,,,,,,,
5810887275,SunHouse Residence,,,Brasil,-21.7975738,-48.174036,,,,,,,,,
5812752536,Oásis Hotel,,,Brasil,-20.8054554,-48.8017762,,,,,,,,,
5812760274,Hotel Nacional,,,Brasil,-20.805542,-48.8025826,,,,,,,,,
5820435539,Pousada do Araripe,,,Brasil,-7.5725535,-40.5231964,,,,,,,,,
5824375863,Pousada Caiçara,,,Brasil,-23.1424808,-44.1624257,,,,,,,,,
5824552647,Hotel Portal de Gravatá,,,Brasil,-8.2014957,-35.5901686,,,,,,,,,
5830243521,,,,Brasil,-16.1375903,-42.2635013,,,,,,,,,
5833189686,Park Imperial,,,Brasil,-16.3379286,-48.9420677,,,,,,,,,
5835086753,Pousada Quinta do Vale,,Gramado,Brasil,-29.3946627,-50.9249909,,,,,,,,,
5835291203,Pousada 2 Irmãos,,,Brasil,-15.7174957,-41.0121001,,,,,,,,,
5838906251,Turis Hotel Passo Fundo,,,Brasil,-28.2623603,-52.4057684,,,,,,,,,
5838910569,Bento Hotel,,,Brasil,-28.2633804,-52.4051053,,,,,,,,,
5839861594,Pousada Vale Encantado,,,Brasil,-6.4196413,-35.7630853,,,,,,,,,
5840650833,Pousada Maristela,,,Brasil,-22.9345105,-45.6191362,,,,,,,,,
5844824919,Prix Hotel,,,Brasil,-28.2669384,-52.432024,,,,,,,,,
5846072986,Pousada Rota dos Tropeiros,,,Brasil,-24.7840742,-50.0059147,,,,,,,,,
5851750104,Amazon Xingu,,,Brasil,-3.2080943,-52.2138897,,,,,,,,,
5854875714,Terra do Chimarrão Hotel,,,Brasil,-29.6301928,-52.1852957,,,,,,,,,
5854898721,Pensão da Dª Zezé,,,Brasil,-16.4147091,-44.2199652,,,,,,,,,
5854975410,Hotel Central,,,Brasil,-28.3007439,-54.2607458,,,,,,,,,
5859960086,Pousada Veneza,,,Brasil,-27.6408838,-52.2698107,,,,,,,,,
5863309870,88,,,Brasil,-30.0248637,-52.9166705,,,,,,,,,
5863623143,Pousada Panela de Ferro,,Mateiros,Brasil,-10.5464356,-46.4223856,,,,,,,,,
5864396686,Center Hotel,,,Brasil,-29.0489386,-50.142735,,,,,,,,,
5864448279,Hotel Fink,,,Brasil,-26.9025685,-49.2428319,,,,,,,,,
5866731889,Pousada Dunas de Marapé,,,Brasil,-10.0457957,-36.0306654,,,,,,,,,
5871247703,Hotel Casa Nova,,,Brasil,-3.2081619,-52.2168198,,,,,,,,,
5871604174,Hotel Toledo,,,Brasil,-16.0876484,-57.2855267,,,,,,,,,
5871605762,Hotel Fenix,,,Brasil,-15.6784836,-56.3078499,,,,,,,,,
5871605763,Hotel Perin,,,Brasil,-15.6784113,-56.3089657,,,,,,,,,
5876717394,Pousada Boff,,Caxias do Sul,Brasil,-29.2963386,-51.1828858,,,,,,,,,
5882840685,Nobile Hotel Copacabana Design,,,Brasil,-22.9649807,-43.1799967,,,,,,,,,
5883259315,Pousada Villa Parahytinga,,,Brasil,-23.2212611,-45.3086924,,,,,,,,,
5899699286,Hotel Cassini,,,Brasil,-11.5117183,-54.8742698,,,,,,,,,
5901813753,Pousada Diniz,,,Brasil,-2.4499858,-54.0978688,,,,,,,,,
5902467892,Alcoboca,,,Brasil,-19.7764634,-43.8469017,,,,,,,,,
5906273504,Parque Paraíso das Flores,,Holambra,Brasil,-22.6504082,-47.0699505,,,,,,,,,
5912428844,Pousada Dos Anjos Canela,,,Brasil,-29.3665832,-50.8067487,,,,,,,,,
5912512185,Hotel Oliveira,,,Brasil,-2.5161581,-66.1006064,,,,,,,,,
5912775478,De Praia Brasil Kite & SUP Lodge,,,Brasil,-3.0242583,-39.6471402,,,,,,,,,
5914106685,Braun Palace Hotel,,,Brasil,-11.5353775,-57.4117948,,,,,,,,,
5916806611,Villa Icaraí,,,Brasil,-3.0251546,-39.6430227,,,,,,,,,
5916806615,Villa Dell Mar,,,Brasil,-3.0265948,-39.6432092,,,,,,,,,
5916806626,Pousada Melgaço,,,Brasil,-3.0261839,-39.6447677,,,,,,,,,
5916806628,Pousada Rio Verde,,,Brasil,-3.025522,-39.6452151,,,,,,,,,
5916909059,Pousada Beira Mar,,,Brasil,-3.0244143,-39.6480469,,,,,,,,,
5916909064,Pousada Manguezal,,,Brasil,-3.0252991,-39.6488158,,,,,,,,,
5919505006,Águas Claras,,,Brasil,-29.38226,-50.8782991,,,,,,,,,
5923241547,Hotel São Paulo,,,Brasil,-16.4681207,-54.6367265,,,,,,,,,
5923241548,Hotel Piratininga,,,Brasil,-16.470417,-54.63334,,,,,,,,,
5924411572,Confort Hotel,,,Brasil,-16.4726734,-54.6105177,,,,,,,,,
5924522167,Hotel Rios,,,Brasil,-16.4695052,-54.6357541,,,,,,,,,
5924600317,Hotel Anjos,,,Brasil,-13.6262374,-41.3329474,,,,,,,,,
5924857088,Catu Palace Hotel,,,Brasil,-16.4706327,-54.6335932,,,,,,,,,
5924976839,Hotel Nacional,,,Brasil,-16.4681512,-54.6354852,,,,,,,,,
5925362072,Hotel Harbor Inn,,,Brasil,-16.4519819,-54.6621168,,,,,,,,,
5926490190,Laghetto Vivace,,,Brasil,-29.3643948,-50.8131288,,,,,,,,,
5926744810,Hotel Vila Verde,,,Brasil,-16.4672058,-54.6419637,,,,,,,,,
5926744813,Hotel Pontal,,,Brasil,-16.4670062,-54.6387854,,,,,,,,,
5927156593,Hotel Alvorada,,,Brasil,-10.2369612,-54.9893224,,,,,,,,,
5927440228,Hotel Paraná,,,Brasil,-16.4710112,-54.634886,,,,,,,,,
5927440242,Rondon Palace Hotel,,,Brasil,-16.4717139,-54.6525965,,,,,,,,,
5927440262,Central,,,Brasil,-16.4725866,-54.6333268,,,,,,,,,
5927440263,Cristal,,,Brasil,-16.4722961,-54.6334731,,,,,,,,,
5927440264,Hotel Piratininga Amazonas,,,Brasil,-16.4744011,-54.6336302,,,,,,,,,
5927440265,Luzitano,,,Brasil,-16.4741505,-54.6339163,,,,,,,,,
5927440267,Santa Fé do Sul,,,Brasil,-16.4926752,-54.6427694,,,,,,,,,
5927869628,Zii Hotel,,,Brasil,-16.4691385,-54.6095537,,,,,,,,,
5927869645,Barrocos,,,Brasil,-16.4534052,-54.6510406,,,,,,,,,
5927869654,Morada do Sol,,,Brasil,-16.4700114,-54.6554731,,,,,,,,,
5927869655,Hotel Talismã,,,Brasil,-16.4875184,-54.6472865,,,,,,,,,
