lodging_id,street,housenumber,city,state,postcode,full_address
node:2197818503,Av. Resurgimiento Lazareto,85,Campeche,,24030,
node:2197832128,,,,,,
node:2198215927,Avenida 16 de Septiembre,,San Cristóbal de Las Casas,,,
node:2198258397,,,,,,
node:2198539330,Dr. J. Felipe Flores,,,,,
node:2198561886,,,,,,
node:2198599517,,,,,,
node:2198613833,,,,,,
node:2198617647,María Adelina Flores,27,San Cristóbal de las Casas,,29230,
node:2198648049,,,,,,
node:2199432712,,,,,,
node:2199881671,,,,,,
node:2199902000,,,,,,
node:2199904224,,,,,,
node:2199906055,,,,,,
node:2204329866,,,,,,
node:2204332544,,,,,,
node:2204350796,,,,,,
node:2204693584,,,,,,
node:2204708888,,,,,,
node:2204711216,,,,,,
node:2204786256,,,,,,
node:2204801907,,,,,,
node:2213683594,,,,,,
node:2214266536,,,,,,
node:2214415657,,,,,,
node:2214420647,,,,,,
node:2214426784,,,,,,
node:2214509209,,,,,,
node:2214521761,,,,,,
node:2214523875,,,,,,
node:2214534179,,,,,,
node:2214538364,,,,,,
node:2214544552,,,,,,
node:2214753695,,,,,,
node:2214852154,,,,,,
node:2215619873,,,,,,
node:2219921922,Avenida Paseo de los Cocoteros,Lote Hotelero G,Nuevo Vallarta,,63732,
node:2225692242,,,,,,
node:2225783939,,,,,,
node:2228451861,,,,,,
node:2228482453,,,,,,
node:2229751408,Carretera Merida-Uxmal,,Temozon Sur,YUC,97825,
node:2239120035,,,,,,
node:2239120054,,,,,,
node:2247153334,,,,,,
node:2256245177,,,,,,
node:2256701148,,,,,,
node:2256701152,,,,,,
node:2258377599,,,,,,
node:2260924393,,,,,,
node:2260924394,,,,,,
node:2260929722,,,,,,
node:2260943981,,,,,,
node:2261612758,,,,,,
node:2261635142,,,,,,
node:2261783685,,,,,,
node:2261795833,,,,,,
node:2261795834,,,,,,
node:2261795841,,,,,,
node:2261805978,,,,,,
node:2261836247,,,,,,
node:2261989423,,,,,,
node:2263376205,,,,,,
node:2264953380,Carretera Lecheria - Texcoco,,,,,
node:2269693374,,,,,,
node:2273203274,,,,,,
node:2274341090,,,,,,
node:2277794790,,,,,,
