id,node_type,internet_access,air_conditioning,hot_water,swimming_pool,laundry,kitchen,breakfast,toilets,wheelchair,check_in,check_out,rooms,beds
1002721113,node,,,,,,,,,no,,,,
1033916916,node,,,,,,,,,,,,,
1033918078,node,,,,,,,,,,,,,
1033924612,node,,,,,,,,,,,,,
1040474937,node,,,,,,,,,,,,,
1041410330,node,wlan,yes,,outdoor,,,,,,,,160,
1043663778,node,yes,,,,,,,,,,,,
1044554588,node,,,,,,,,,,,,,
1044554609,node,,,,,,,,,,,,,
1044554614,node,,,,,,,,,,,,,
1044554619,node,,,,,,,,,,,,,
1044554673,node,,,,,,,,,,,,,
1044554677,node,,,,,,,,,,,,,
1044554699,node,,,,,,,,,,,,,
1044677053,node,wlan,,,,,,,,,,,,
1052484188,node,,,,,,,,,,,,,
1069852918,node,,,,,,,,,,,,,
1070222163,node,,,,,,,,,,,,,
1079124571,node,wlan,,,,,,,,,,,40,
1079124894,node,wlan,,,,,,,,,,,,
1080701218,node,,,,,,,,,,,,,
1082446843,node,,,,,,,,,,,,,
1125928060,node,no,,,,,,,,,,,29,
1152082274,node,,,,,,,,,,,,,
1160114695,node,,,,,,,,,,,,,
1160114748,node,,,,,,,,,,,,,
1164584448,node,,,,,,,,,,,,,
1164608594,node,,,,,,,,,,,,,
1164608617,node,,,,,,,,,,,,,
1191029140,node,,yes,,yes,,,,,,,,28,
1191342752,node,,,,,,,,,,,,,
1191342797,node,,,,,,,,,,,,,
1205736012,node,,,,,,,,,,,,,
1208019356,node,wlan,,,,,,,,,,,,
1210871808,node,,,,,,,,,,,,,
1213450567,node,,,,,,,,,,,,,
1213450604,node,,,,,,,,,,,,,
1214961907,node,yes,,,,,,,,yes,,,122,
1216053562,node,,,,,,,,,,,,,
1217880476,node,,,,,,,,,,,,,
1226407833,node,,,,,,,,,,,,,
1227113140,node,,,,,,,,,,,,,
1227113146,node,,,,,,,,,,,,,
1228221464,node,,,,,,,,,,,,,
1228230036,node,,,,,,,,,,,,,
1228238636,node,,,,,,,,,,,,,
1253174202,node,,,,,,,,,,,,,
1273143221,node,,,,,,,,,,,,,
1279285206,node,,,,,,,,,,,,,
